,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
61,4-Sep-26,,1800,MSZSZ,G650,,,1,GRE,AG13,1,,,,,,,SAM,WAF,FOO,SYF,,,1,,,SAM,,PAS,,
62,4-Sep-26,,1845,T7JSC8,G450,1,,,B4,AG11,1,,,,,,,SAM,WAF,RAS,FOO,,,1,,,SAM,,PAS,,
63,4-Sep-26,,1900,MARCO,G550,1,,,Z5,AG13,1,,,,,,,SAM,WAF,RAS,FOO,,,1,,1,SAM,,25177,,
64,4-Sep-26,,2225,T7Y8998,GA8C,,,1,D55,Z4,,,,1,,,,SAM,WAF,JOE,KAT,1,,,,1,SAM,,25218,,
65,5-Sep-26,,0900,N369WW,GL7T,,,1,C51,AG6,,,,,,,,,,,,,,,1,,ZAR,TOWED BY BAS,25164,,
66,5-Sep-26,,1025,VPCTL,G650,,,1,CMP11,C5,1,,,,,,,KAM,ZAR,HDT,KAT,1,,,,1,ZAR,,25060,,
67,5-Sep-26,,1035,T7SAI,GLEX,,,1,CPAC1,D52,1,,,,,,,KAM,ZAR,SAZ,,1,,,,,ZAR,,25020,,
68,5-Sep-26,,1600,T7688NJ,GLF6,1,,,AG13,C4,,,,,,,1,ZAR,WAF,RAF,HAO,,,1,,,ZAR,,25075,,
69,5-Sep-26,,1615,N8899J,GLF6,1,,,CPAB1,AG13,,,,,,,1,ZAR,WAF,RAF,HAO,,,1,,,ZAR,,PAS,,
70,5-Sep-26,,1630,N600MZ,GA6C,,,1,AG11,D56,,,,1,,,,ZAR,WAF,RAF,JAV,,,1,,,ZAR,,UV,,
